YEAR,MONTH,AF,km3
2008,12,6209,0.007658677
2009,1,10378,0.012801055
2009,2,14338,0.017685636
2009,3,11953,0.014743786
2009,4,68,8.39E-05
2009,5,6670,0.008227312
2009,6,6518,0.008039823
2009,7,10334,0.012746782
2009,8,14480,0.01786079
2009,9,14911,0.01839242
2009,10,15951,0.019675239
2009,11,15109,0.018636649
2009,12,16551,0.020415327
2010,1,1866,0.002301674
2010,2,18288,0.022557882
2010,3,16058,0.019807222
2010,4,19986,0.024652331
2010,5,21517,0.026540789
2010,6,34688,0.042786954
2010,7,33326,0.041106954
2010,8,30156,0.037196823
2010,9,18194,0.022441935
2010,10,20628,0.025444225
2010,11,18243,0.022502376
2010,12,18176,0.022419732
2011,1,22938,0.028293564
2011,2,11773,0.01452176
2011,3,23941,0.029530745
2011,4,32481,0.040064664
2011,5,38313,0.047258319
2011,6,39523,0.04875083
2011,7,40747,0.05026061
2011,8,40924,0.050478936
2011,9,29148,0.035953475
2011,10,28975,0.035740083
2011,11,25880,0.031922462
2011,12,23109,0.028504489
2012,1,20317,0.025060613
2012,2,23986,0.029586251
2012,3,10378,0.012801055
2012,4,93,0.000114714
2012,5,10879,0.013419029
2012,6,12220,0.015073126
2012,7,15621,0.019268191
2012,8,20516,0.025306076
2012,9,21375,0.026365635
2012,10,4210,0.005192951
2012,11,8196,0.010109602
2012,12,19293,0.02379753
2013,1,12176,0.015018852
2013,2,1231,0.001518414
2013,3,4230,0.00521762
2013,4,1188,0.001465374
2013,5,1241,0.001530749
2013,6,4258,0.005252158
2013,7,8239,0.010162642
2013,8,9670,0.011927752
2013,9,11222,0.013842113
2013,10,5504,0.006789074
2013,11,3368,0.004154361
2013,12,2553,0.003149074
2014,1,5314,0.006554713
2014,2,1477,0.00182185
2014,3,7090,0.008745373
2014,4,2041,0.002517533
2014,5,2347,0.002894978
2014,6,2484,0.003063964
2014,7,9317,0.011492333
2014,8,15017,0.018523169
2014,9,14962,0.018455328
2014,10,1239,0.001528282
2014,11,376,0.000463788
2014,12,469,0.000578502
2015,1,1075,0.001325991
2015,2,5495,0.006777973
2015,3,4840,0.005970043
2015,4,438,0.000540264
2015,5,304,0.000374978
2015,6,300,0.000370044
2015,7,2893,0.003568458
2015,8,3951,0.004873479
2015,9,5860,0.007228193
2015,10,37,4.56E-05
2015,11,0,0
2015,12,1891,0.002332511
2016,1,1780,0.002195594
2016,2,3224,0.00397674
2016,3,242,0.000298502
2016,4,10855,0.013389425
2016,5,7539,0.009299206
2016,6,12797,0.015784844
2016,7,18521,0.022845283
2016,8,16338,0.020152596
2016,9,14762,0.018208632
2016,10,0,0
2016,11,0,0
2016,12,1813,0.002236299
2017,1,4223,0.005208986
2017,2,17888,0.02206449
2017,3,31605,0.038984135
2017,4,33140,0.040877527
2017,5,37529,0.046291271
2017,6,37827,0.046658848
2017,7,39297,0.048472064
2017,8,39964,0.049294795
2017,9,37469,0.046217262
2017,10,38345,0.047297791
2017,11,28433,0.035071537
2017,12,17682,0.021810393
2018,1,3180,0.003922466
2018,2,14826,0.018287574
2018,3,14805,0.018261671
2018,4,8446,0.010417972
2018,5,20395,0.025156825
2018,6,27096,0.033422374
2018,7,34398,0.042429245
2018,8,37784,0.046605808
2018,9,30784,0.037971448
2018,10,7062,0.008710836
2018,11,13995,0.017262553
2018,12,22428,0.027664489
2019,1,1703,0.002100616
2019,2,22318,0.027528807
2019,3,30139,0.037175854
2019,4,32307,0.039850038
2019,5,33003,0.04070854
2019,6,33925,0.041845809
2019,7,36048,0.044464487
2019,8,39827,0.049125808
2019,9,28546,0.03521092
2019,10,30213,0.037267131
2019,11,18572,0.022908191
2019,12,18977,0.02340775
2020,1,6549,0.008078061
2020,2,20623,0.025438058
2020,3,18128,0.022360525
2020,4,13561,0.016727222
2020,5,24530,0.030257264
2020,6,20046,0.02472634
2020,7,21201,0.026151009
2020,8,22767,0.028082639
2020,9,21787,0.026873829
2020,10,5420,0.006685462
2020,11,11037,0.013613919
2020,12,7490,0.009238765
