"YEAR.x","MONTH.x","AF","km3_LA","DATE","YEAR.y","MONTH.y","Coachella.AF.","MWD.AF.","Total","km3_CA","native_total"
1996,3,39457,0.04866942,1996-03-01,NA,NA,NA,NA,NA,NA,NA
1996,4,41731,0.051474354,1996-04-01,NA,NA,NA,NA,NA,NA,NA
1996,5,38687,0.047719641,1996-05-01,NA,NA,NA,NA,NA,NA,NA
1996,6,42446,0.052356292,1996-06-01,NA,NA,NA,NA,NA,NA,NA
1996,7,44807,0.055268538,1996-07-01,NA,NA,NA,NA,NA,NA,NA
1996,8,42981,0.053016204,1996-08-01,NA,NA,NA,NA,NA,NA,NA
1996,9,36774,0.045359994,1996-09-01,NA,NA,NA,NA,NA,NA,NA
1996,10,44026,0.05430519,1996-10-01,NA,NA,NA,NA,NA,NA,NA
1996,11,14222,0.017542553,1996-11-01,NA,NA,NA,NA,NA,NA,NA
1996,12,24349,0.030034005,1996-12-01,NA,NA,NA,NA,NA,NA,NA
1997,1,36546,0.04507876,1997-01-01,NA,NA,NA,NA,NA,NA,NA
1997,2,34606,0.042685809,1997-02-01,NA,NA,NA,NA,NA,NA,NA
1997,3,41842,0.05161127,1997-03-01,NA,NA,NA,NA,NA,NA,NA
1997,4,41478,0.051162283,1997-04-01,NA,NA,NA,NA,NA,NA,NA
1997,5,40799,0.050324751,1997-05-01,NA,NA,NA,NA,NA,NA,NA
1997,6,42970,0.053002636,1997-06-01,NA,NA,NA,NA,NA,NA,NA
1997,7,46190,0.056974441,1997-07-01,NA,NA,NA,NA,NA,NA,NA
1997,8,46061,0.056815322,1997-08-01,NA,NA,NA,NA,NA,NA,NA
1997,9,39080,0.048204398,1997-09-01,NA,NA,NA,NA,NA,NA,NA
1997,10,26470,0.032650216,1997-10-01,NA,NA,NA,NA,NA,NA,NA
1997,11,15743,0.019418676,1997-11-01,NA,NA,NA,NA,NA,NA,NA
1997,12,24519,0.030243696,1997-12-01,NA,NA,NA,NA,NA,NA,NA
1988,1,20312,0.025054446,1988-01-01,NA,NA,NA,NA,NA,NA,NA
1988,2,17737,0.021878235,1988-02-01,NA,NA,NA,NA,NA,NA,NA
1988,3,36332,0.044814795,1988-03-01,NA,NA,NA,NA,NA,NA,NA
1988,4,40278,0.049682107,1988-04-01,NA,NA,NA,NA,NA,NA,NA
1988,5,39838,0.049139376,1988-05-01,NA,NA,NA,NA,NA,NA,NA
1988,6,43959,0.054222547,1988-06-01,NA,NA,NA,NA,NA,NA,NA
1988,7,46573,0.057446864,1988-07-01,NA,NA,NA,NA,NA,NA,NA
1988,8,46680,0.057578846,1988-08-01,NA,NA,NA,NA,NA,NA,NA
1988,9,43487,0.053640345,1988-09-01,NA,NA,NA,NA,NA,NA,NA
1988,10,44926,0.055415322,1988-10-01,NA,NA,NA,NA,NA,NA,NA
1988,11,45295,0.055870477,1988-11-01,NA,NA,NA,NA,NA,NA,NA
1988,12,43003,0.05304334,1988-12-01,NA,NA,NA,NA,NA,NA,NA
1999,1,25659,0.031649863,1999-01-01,NA,NA,NA,NA,NA,NA,NA
1999,2,17089,0.02107894,1999-02-01,NA,NA,NA,NA,NA,NA,NA
1999,3,20570,0.025372684,1999-03-01,NA,NA,NA,NA,NA,NA,NA
1999,4,20594,0.025402287,1999-04-01,NA,NA,NA,NA,NA,NA,NA
1999,5,32015,0.039489862,1999-05-01,NA,NA,NA,NA,NA,NA,NA
1999,6,37364,0.046087747,1999-06-01,NA,NA,NA,NA,NA,NA,NA
1999,7,41473,0.051156116,1999-07-01,NA,NA,NA,NA,NA,NA,NA
1999,8,37669,0.046463958,1999-08-01,NA,NA,NA,NA,NA,NA,NA
1999,9,29535,0.036430832,1999-09-01,NA,NA,NA,NA,NA,NA,NA
1999,10,21054,0.025969688,1999-10-01,NA,NA,NA,NA,NA,NA,NA
1999,11,13687,0.016882641,1999-11-01,NA,NA,NA,NA,NA,NA,NA
1999,12,11524,0.014214624,1999-12-01,NA,NA,NA,NA,NA,NA,NA
2000,1,14683,0.018111187,2000-01-01,2000,1,963,105056,106019,0.130772316,0.148883503
2000,2,12870,0.015874888,2000-02-01,2000,2,5544,80130,85674,0.105677166,0.121552054
2000,3,22523,0.02778167,2000-03-01,2000,3,12276,87467,99743,0.123030996,0.150812666
2000,4,14669,0.018093918,2000-04-01,2000,4,2202,135953,138155,0.170411429,0.188505347
2000,5,34721,0.042827659,2000-05-01,2000,5,2503,104298,106801,0.131736897,0.174564556
2000,6,38667,0.047694971,2000-06-01,2000,6,2502,128892,131394,0.162071871,0.209766842
2000,7,42117,0.051950477,2000-07-01,2000,7,2753,136699,139452,0.172011253,0.22396173
2000,8,29804,0.036762638,2000-08-01,2000,8,2502,153406,155908,0.1923094,0.229072038
2000,9,16806,0.020729865,2000-09-01,2000,9,3713,134619,138332,0.170629755,0.19135962
2000,10,7830,0.009658148,2000-10-01,2000,10,5417,150627,156044,0.192477153,0.202135301
2000,11,13567,0.016734623,2000-11-01,2000,11,994,152228,153222,0.188996273,0.205730896
2000,12,6879,0.008485109,2000-12-01,2000,12,954,153037,153991,0.189944819,0.198429928
2001,1,6222,0.007674713,2001-01-01,2001,1,0,94266,94266,0.116275226,0.123949939
2001,2,20079,0.024767045,2001-02-01,2001,2,0,60337,60337,0.074424483,0.099191528
2001,3,22232,0.027422727,2001-03-01,2001,3,0,67344,67344,0.083067477,0.110490204
2001,4,5828,0.007188721,2001-04-01,2001,4,1246,70387,71633,0.088357873,0.095546594
2001,5,28929,0.035683343,2001-05-01,2001,5,1155,91335,92490,0.114084565,0.149767908
2001,6,38454,0.04743224,2001-06-01,2001,6,1925,93399,95324,0.117580248,0.165012488
2001,7,41085,0.050677526,2001-07-01,2001,7,1925,95955,97880,0.120733022,0.171410548
2001,8,35590,0.043899553,2001-08-01,2001,8,2849,86346,89195,0.110020249,0.153919802
2001,9,30859,0.038063959,2001-09-01,2001,9,0,83802,83802,0.103368091,0.14143205
2001,10,15694,0.019358235,2001-10-01,2001,10,0,122562,122562,0.151177776,0.170536011
