,Q_CA,Q_COUP,Q_RGUP,Q_RGLOW,Q_RCUP,Q_RCTRI,D_CA,D_COUP,D_COLOW,D_RG,Scaled_D_RG
95,0.219987458,0.519658957,0.04271744,0.07479222,0.00598191,0.01854759,0.370792597,0.357271053,0.358852636,0.019805648,0.027573131
96,0.223955562,0.376068316,0.041704553,0.084921097,0.004565335,0.018327397,0.352443841,0.315177086,0.379784792,0.006586175,0.009169175
97,0.126543946,0.366084529,0.037197936,0.039069577,0.004440559,-0.002480841,0.238412423,0.304579632,0.321754491,0.007468973,0.010398193
98,0.097737254,0.403836418,0.040816441,0.040610927,0.003956134,-0.003023984,0.286043585,0.281307228,0.403022321,0.007193543,0.010014745
99,0.074318403,0.556425295,0.039231051,0.014738251,0.005732358,0.000433046,0.457056369,0.376907538,0.562565558,0.031526441,0.043890646
100,0.085884745,0.865963401,0.021622952,0.000562226,0.049844354,0.01131058,0.572673284,0.432396383,0.620130837,0.049682907,0.069167809
101,0.080753469,2.576818663,0.020896315,0,0.017145694,0.008125121,0.64881393,0.559223775,0.58747322,0.058157832,0.080966475
102,0.09259241,2.039524643,0.01572178,0,0.002679015,0.011919781,0.645891665,0.615965484,0.47486513,0.055103505,0.076714286
103,0.147740067,1.051373947,0.011222503,0.006943419,0.00124776,0.005556203,0.631097342,0.667432247,0.441395884,0.06061921,0.08439317
104,0.155043502,0.586751634,0.011684908,0.004462578,0.00126244,0.009262785,0.613742958,0.645989422,0.327440834,0.054034246,0.07522568
105,0.134248262,0.432186722,0.0119418,0.001534011,0.001372536,-0.013240939,0.504844701,0.541892523,0.481453147,0.036771902,0.0511933
106,0.101261307,0.597253483,0.012998726,0.008095762,0.003970814,0.0100408,0.444376495,0.464389105,0.408602585,0.032740757,0.045581199
107,0.105606858,0.361387437,0.01569976,0.018195281,0.003068022,0.00093215,0.380746309,0.353441237,0.42815571,0.006824296,0.009500684
108,0.087165097,0.314109382,0.023942318,0.026452518,0.002150552,0.00472681,0.244379607,0.311798502,0.350444003,0.004352056,0.006058868
109,0.057560344,0.317696342,0.025344213,0.030871057,0.003273536,0.007501241,0.273419741,0.303148681,0.297996433,0.005214453,0.007259484
110,0.066668361,0.36659519,0.03015176,0.034907929,0.004580014,0.011750966,0.277468441,0.279985614,0.423099675,0.004833652,0.006729339
111,0.137801919,0.897150709,0.04838374,0.06565421,0.011560132,0.026166267,0.409779418,0.375136783,0.460022666,0.021632976,0.03011711
112,0.209995036,2.076176267,0.077434536,0.144446603,0.084040325,0.039487943,0.52000056,0.430364934,0.564002563,0.041488923,0.057760267
113,0.195232747,3.843142535,0.179310493,0.245735379,0.147969691,0.046020335,0.614729985,0.556596477,0.540512169,0.055021753,0.076600473
114,0.160754514,7.10069414,0.27619541,0.251753988,0.152593743,0.04271744,0.676937507,0.613071607,0.496758167,0.066547618,0.092646612
115,0.242724194,4.219865829,0.172264317,0.150318416,0.026826846,0.003214818,0.706572027,0.664296573,0.514648561,0.055634364,0.07745334
116,0.253529479,1.299136907,0.082792565,0.03550245,0.007618678,-0.023377156,0.624040715,0.642954489,0.463105132,0.056315907,0.078402174
117,0.222604902,0.501176492,0.036948384,0.004249725,0.003501069,-0.025571746,0.484497425,0.539346649,0.474712179,0.050282229,0.070002176
118,0.210076446,0.410236946,0.026518576,0.021079809,0.003001964,5.87E-05,0.38649856,0.462207351,0.414148311,0.040797304,0.056797405
119,0.174956804,0.519240807,0.029586598,0.085801869,0.003023984,0.002040455,0.229883393,0.351780729,0.371573515,0.013770613,0.019171244
120,0.172112398,0.462742489,0.037153898,0.064670682,0.003258856,-0.000888112,0.207927108,0.310333636,0.240681552,0.005472244,0.007618377
