Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	27	300	M	6
Dec	27	230	M	1
Dec	27	200	M	6
Dec	27	130	M	6
Dec	27	100	M	0
Dec	27	30	M	0
Dec	27	0	M	5
Dec	26	2330	M	6
Dec	26	2300	M	4
Dec	26	2230	M	0
Dec	26	2200	M	1
Dec	26	2130	M	0
Dec	26	2100	M	1
Dec	26	2030	M	4
Dec	26	2000	M	0
Dec	26	1930	M	0
Dec	26	1900	M	5
Dec	26	1830	M	5
Dec	26	1800	M	0
Dec	26	1730	M	1
Dec	26	1700	M	6
Dec	26	1630	M	0
Dec	26	1600	M	6
Dec	26	1530	M	6
Dec	26	1500	M	3
Dec	26	1430	M	3
Dec	26	1400	M	-1
Dec	26	1330	M	0
Dec	26	1300	M	2
Dec	26	1230	M	2
Dec	26	1200	M	0
Dec	26	1130	M	5
Dec	26	1100	M	1
Dec	26	1030	M	5
Dec	26	1000	M	2
Dec	26	930	M	1
Dec	26	900	M	1
Dec	26	830	M	1
Dec	26	800	M	3
Dec	26	730	M	3
Dec	26	700	M	1
Dec	26	630	M	1
Dec	26	600	M	6
Dec	26	530	M	2
Dec	26	500	M	2
Dec	26	430	M	5
Dec	26	400	M	3
Dec	26	330	M	4
Dec	26	300	M	0
Dec	26	230	M	6
Dec	26	200	M	5
Dec	26	130	M	4
Dec	26	100	M	4
Dec	26	30	M	1
Dec	26	0	M	2
Dec	25	2330	M	3
Dec	25	2300	M	0
Dec	25	2230	M	2
Dec	25	2200	M	1
Dec	25	2130	M	2
Dec	25	2100	M	3
Dec	25	2030	M	3
Dec	25	2000	M	5
Dec	25	1930	M	0
Dec	25	1900	M	5
Dec	25	1830	M	5
Dec	25	1800	M	1
Dec	25	1730	M	1
Dec	25	1700	M	1
Dec	25	1630	M	0
Dec	25	1600	M	1
Dec	25	1530	M	1
Dec	25	1500	M	3
Dec	25	1430	M	0
Dec	25	1400	M	0
Dec	25	1330	M	1
Dec	25	1300	M	1
Dec	25	1230	M	0
Dec	25	1200	M	1
Dec	25	1130	M	4
Dec	25	1100	M	4
Dec	25	1030	M	0
Dec	25	1000	M	1
Dec	25	930	M	0
Dec	25	900	M	6
Dec	25	830	M	6
Dec	25	800	M	0
Dec	25	730	M	5
Dec	25	700	M	2
Dec	25	630	M	0
Dec	25	600	M	6
Dec	25	530	M	0
Dec	25	500	M	2
Dec	25	430	M	2
Dec	25	400	M	0
Dec	25	330	M	1
Dec	25	300	M	1
Dec	25	230	M	2
Dec	25	200	M	3
Dec	25	130	M	5
Dec	25	100	M	1
Dec	25	30	M	0
Dec	25	0	M	1
Dec	24	2330	M	1
Dec	24	2300	M	2
Dec	24	2230	M	2
Dec	24	2200	M	6
Dec	24	2130	M	0
Dec	24	2100	M	0
Dec	24	2030	M	0
Dec	24	2000	M	1
Dec	24	1930	M	5
Dec	24	1900	M	0
Dec	24	1830	M	-1
Dec	24	1800	M	1
Dec	24	1730	M	2
Dec	24	1700	M	2
Dec	24	1630	M	7
Dec	24	1600	M	2
Dec	24	1530	M	4
Dec	24	1500	M	5
Dec	24	1430	M	7
Dec	24	1400	M	7
Dec	24	1330	M	7
Dec	24	1300	M	2
Dec	24	1230	M	4
Dec	24	1200	M	2
Dec	24	1130	M	3
Dec	24	1100	M	6
Dec	24	1030	M	7
Dec	24	1000	M	5
Dec	24	930	M	7
Dec	24	900	M	5
Dec	24	830	M	2
Dec	24	800	M	2
Dec	24	730	M	4
Dec	24	700	M	4
Dec	24	630	M	4
Dec	24	600	M	2
Dec	24	530	M	1
Dec	24	500	M	1
Dec	24	430	M	1
Dec	24	400	M	3
Dec	24	330	M	1
Dec	24	300	M	0
Dec	24	230	M	0
Dec	24	200	M	4
Dec	24	130	M	2
Dec	24	100	M	5
Dec	24	30	M	3
Dec	24	0	M	0
Dec	23	2330	M	5
Dec	23	2300	M	4
Dec	23	2230	M	6
Dec	23	2200	M	1
Dec	23	2130	M	1
Dec	23	2100	M	6
Dec	23	2030	M	6
Dec	23	2000	M	6
Dec	23	1930	M	3
Dec	23	1900	M	2
Dec	23	1830	M	6
Dec	23	1800	M	6
Dec	23	1730	M	0
Dec	23	1700	M	5
Dec	23	1630	M	6
Dec	23	1600	M	2
Dec	23	1530	M	3
Dec	23	1500	M	1
Dec	23	1430	M	1
Dec	23	1400	M	1
Dec	23	1330	M	1
Dec	23	1300	M	2
Dec	23	1230	M	6
Dec	23	1200	M	1
Dec	23	1130	M	1
Dec	23	1100	M	6
Dec	23	1030	M	6
Dec	23	1000	M	6
Dec	23	930	M	1
Dec	23	900	M	4
Dec	23	830	M	1
Dec	23	800	M	1
Dec	23	730	M	1
Dec	23	700	M	6
Dec	23	630	M	6
Dec	23	600	M	1
Dec	23	530	M	1
Dec	23	500	M	6
Dec	23	430	M	4
Dec	23	400	M	3
Dec	23	330	M	2
Dec	23	300	M	2
Dec	23	230	M	2
Dec	23	200	M	1
Dec	23	130	M	1
Dec	23	100	M	4
Dec	23	30	M	1
Dec	23	0	M	0
Dec	22	2330	M	0
Dec	22	2300	M	2
Dec	22	2230	M	1
Dec	22	2200	M	6
Dec	22	2130	M	3
Dec	22	2100	M	6
Dec	22	2030	M	2
Dec	22	2000	M	0
Dec	22	1930	M	2
Dec	22	1900	M	2
Dec	22	1830	M	2
Dec	22	1800	M	1
Dec	22	1730	M	5
Dec	22	1700	M	5
Dec	22	1630	M	1
Dec	22	1600	M	2
Dec	22	1530	M	2
Dec	22	1500	M	0
Dec	22	1430	M	2
Dec	22	1400	M	2
Dec	22	1330	M	6
Dec	22	1300	M	6
Dec	22	1230	M	2
Dec	22	1200	M	1
Dec	22	1130	M	1
Dec	22	1100	M	1
Dec	22	1030	M	0
Dec	22	1000	M	M
Dec	22	930	M	5
Dec	22	900	M	1
Dec	22	830	M	4
Dec	22	800	M	4
Dec	22	730	M	5
Dec	22	700	M	5
Dec	22	630	M	1
Dec	22	600	M	0
Dec	22	530	M	4
Dec	22	500	M	2
Dec	22	430	M	1
Dec	22	400	M	3
Dec	22	330	M	4
Dec	22	300	M	4
Dec	22	230	M	2
Dec	22	200	M	2
Dec	22	130	M	1
Dec	22	100	M	4
Dec	22	30	M	6
Dec	22	0	M	0
Dec	21	2330	M	0
Dec	21	2300	M	4
Dec	21	2230	M	6
Dec	21	2200	M	1
Dec	21	2130	M	1
Dec	21	2100	M	2
Dec	21	2030	M	1
Dec	21	2000	M	2
Dec	21	1930	M	5
Dec	21	1900	M	5
Dec	21	1830	M	2
Dec	21	1800	M	1
Dec	21	1730	M	5
Dec	21	1700	M	1
Dec	21	1630	M	6
Dec	21	1600	M	0
Dec	21	1530	M	2
Dec	21	1500	M	1
Dec	21	1430	M	1
Dec	21	1400	M	0
Dec	21	1330	M	0
Dec	21	1300	M	1
Dec	21	1230	M	1
Dec	21	1200	M	6
Dec	21	1130	M	0
Dec	21	1100	M	1
Dec	21	1030	M	4
Dec	21	1000	M	1
Dec	21	930	M	3
Dec	21	900	M	3
Dec	21	830	M	5
Dec	21	800	M	0
Dec	21	730	M	5
Dec	21	700	M	2
Dec	21	630	M	0
Dec	21	600	M	5
Dec	21	530	M	5
Dec	21	500	M	5
Dec	21	430	M	2
Dec	21	400	M	0
Dec	21	330	M	1
Dec	21	300	M	1
Dec	21	230	M	1
Dec	21	200	M	2
Dec	21	130	M	2
Dec	21	100	M	6
Dec	21	30	M	1
Dec	21	0	M	0
Dec	20	2330	M	1
Dec	20	2300	M	4
Dec	20	2230	M	6
Dec	20	2200	M	5
Dec	20	2130	M	5
Dec	20	2100	M	0
Dec	20	2030	M	2
Dec	20	2000	M	1
Dec	20	1930	M	1
Dec	20	1900	M	1
Dec	20	1830	M	2
Dec	20	1800	M	0
Dec	20	1730	M	1
Dec	20	1700	M	0
Dec	20	1630	M	2
Dec	20	1600	M	1
Dec	20	1530	M	6
Dec	20	1500	M	6
Dec	20	1430	M	3
Dec	20	1400	M	4
Dec	20	1330	M	6
Dec	20	1300	M	5
Dec	20	1230	M	2
Dec	20	1200	M	2
Dec	20	1130	M	3
Dec	20	1100	M	1
Dec	20	1030	M	1
Dec	20	1000	M	2
Dec	20	930	M	0
Dec	20	900	M	1
Dec	20	830	M	1
Dec	20	800	M	4
Dec	20	730	M	5
Dec	20	700	M	5
Dec	20	630	M	6
Dec	20	600	M	1
Dec	20	530	M	2
Dec	20	500	M	5
Dec	20	430	M	1
Dec	20	400	M	5
Dec	20	330	M	0
Dec	20	300	M	2
Dec	20	230	M	2
Dec	20	200	M	3
Dec	20	130	M	2
Dec	20	100	M	1
Dec	20	30	M	2
Dec	20	0	M	5
Dec	19	2330	M	4
Dec	19	2300	M	4
Dec	19	2230	M	3
Dec	19	2200	M	5
Dec	19	2130	M	5
Dec	19	2100	M	1
Dec	19	2030	M	1
Dec	19	2000	M	1
Dec	19	1930	M	0
Dec	19	1900	M	0
Dec	19	1830	M	1
Dec	19	1800	M	1
Dec	19	1730	M	6
Dec	19	1700	M	0
Dec	19	1630	M	2
Dec	19	1600	M	1
Dec	19	1530	M	1
Dec	19	1500	M	1
Dec	19	1430	M	1
Dec	19	1400	M	6
Dec	19	1330	M	5
Dec	19	1300	M	1
Dec	19	1230	M	1
Dec	19	1200	M	6
Dec	19	1130	M	2
Dec	19	1100	M	6
Dec	19	1030	M	1
Dec	19	1000	M	0
Dec	19	930	M	0
Dec	19	900	M	0
Dec	19	830	M	1
Dec	19	800	M	0
Dec	19	730	M	1
Dec	19	700	M	1
Dec	19	630	M	5
Dec	19	600	M	0
Dec	19	530	M	1
Dec	19	500	M	6
Dec	19	430	M	6
Dec	19	400	M	1
Dec	19	330	M	1
Dec	19	300	M	1
Dec	19	230	M	2
Dec	19	200	M	6
Dec	19	130	M	1
Dec	19	100	M	0
Dec	19	30	M	1
Dec	19	0	M	1
Dec	18	2330	M	1
Dec	18	2300	M	2
Dec	18	2230	M	0
Dec	18	2200	M	2
Dec	18	2130	M	1
Dec	18	2100	M	3
Dec	18	2030	M	1
Dec	18	2000	M	5
Dec	18	1930	M	5
Dec	18	1900	M	4
Dec	18	1830	M	3
Dec	18	1800	M	4
Dec	18	1730	M	3
Dec	18	1700	M	4
Dec	18	1630	M	4
Dec	18	1600	M	1
Dec	18	1530	M	6
Dec	18	1500	M	6
Dec	18	1430	M	3
Dec	18	1400	M	3
Dec	18	1330	M	3
Dec	18	1300	M	3
Dec	18	1230	M	5
Dec	18	1200	M	2
Dec	18	1130	M	0
Dec	18	1100	M	1
Dec	18	1030	M	4
Dec	18	1000	M	2
Dec	18	930	M	1
Dec	18	900	M	2
Dec	18	830	M	6
Dec	18	800	M	5
Dec	18	730	M	5
Dec	18	700	M	4
Dec	18	630	M	2
Dec	18	600	M	2
Dec	18	530	M	3
Dec	18	500	M	1
Dec	18	430	M	3
Dec	18	400	M	2
Dec	18	330	M	0
Dec	18	300	M	2
Dec	18	230	M	0
Dec	18	200	M	0
Dec	18	130	M	0
Dec	18	100	M	2
Dec	18	30	M	5
Dec	18	0	M	3
Dec	17	2330	M	0
Dec	17	2300	M	1
Dec	17	2230	M	4
Dec	17	2200	M	2
Dec	17	2130	M	0
Dec	17	2100	M	0
Dec	17	2030	M	-1
Dec	17	2000	M	-1
Dec	17	1930	M	1
Dec	17	1900	M	1
Dec	17	1830	M	3
Dec	17	1800	M	0
Dec	17	1730	M	-1
Dec	17	1700	M	3
Dec	17	1630	M	1
Dec	17	1600	M	1
Dec	17	1530	M	5
Dec	17	1500	M	1
Dec	17	1430	M	4
Dec	17	1400	M	0
Dec	17	1330	M	3
Dec	17	1300	M	5
Dec	17	1230	M	4
Dec	17	1200	M	1
Dec	17	1130	M	1
Dec	17	1100	M	2
Dec	17	1030	M	5
Dec	17	1000	M	5
Dec	17	930	M	0
Dec	17	900	M	0
Dec	17	830	M	2
Dec	17	800	M	0
Dec	17	730	M	1
Dec	17	700	M	1
Dec	17	630	M	4
Dec	17	600	M	0
Dec	17	530	M	5
Dec	17	500	M	1
Dec	17	430	M	1
Dec	17	400	M	1
Dec	17	330	M	5
Dec	17	300	M	3
Dec	17	230	M	0
Dec	17	200	M	2
Dec	17	130	M	1
Dec	17	100	M	5
Dec	17	30	M	5
Dec	17	0	M	0
Dec	16	2330	M	2
Dec	16	2300	M	1
Dec	16	2230	M	0
Dec	16	2200	M	3
Dec	16	2130	M	3
Dec	16	2100	M	1
Dec	16	2030	M	1
Dec	16	2000	M	2
Dec	16	1930	M	2
Dec	16	1900	M	4
Dec	16	1830	M	4
Dec	16	1800	M	3
Dec	16	1730	M	4
Dec	16	1700	M	4
Dec	16	1630	M	0
Dec	16	1600	M	2
Dec	16	1530	M	1
Dec	16	1500	M	0
Dec	16	1430	M	1
Dec	16	1400	M	0
Dec	16	1330	M	0
Dec	16	1300	M	5
Dec	16	1230	M	1
Dec	16	1200	M	1
Dec	16	1130	M	1
Dec	16	1100	M	5
Dec	16	1030	M	3
Dec	16	1000	M	3
Dec	16	930	M	2
Dec	16	900	M	1
Dec	16	830	M	1
Dec	16	800	M	4
Dec	16	730	M	4
Dec	16	700	M	4
Dec	16	630	M	1
Dec	16	600	M	1
Dec	16	530	M	1
Dec	16	500	M	1
Dec	16	430	M	4
Dec	16	400	M	4
Dec	16	330	M	3
Dec	16	300	M	1
Dec	16	230	M	0
Dec	16	200	M	1
Dec	16	130	M	4
Dec	16	100	M	4
Dec	16	30	M	1
Dec	16	0	M	5
Dec	15	2330	M	5
Dec	15	2300	M	0
Dec	15	2230	M	1
Dec	15	2200	M	5
Dec	15	2130	M	1
Dec	15	2100	M	0
Dec	15	2030	M	0
Dec	15	2000	M	1
Dec	15	1930	M	1
Dec	15	1900	M	2
Dec	15	1830	M	1
Dec	15	1800	M	4
Dec	15	1730	M	4
Dec	15	1700	M	4
Dec	15	1630	M	5
Dec	15	1600	M	1
Dec	15	1530	M	1
Dec	15	1500	M	1
Dec	15	1430	M	0
Dec	15	1400	M	3
Dec	15	1330	M	1
Dec	15	1300	M	5
Dec	15	1230	M	4
Dec	15	1200	M	0
Dec	15	1130	M	0
