Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	31	1600	4.73	0
Dec	31	1530	4.74	0
Dec	31	1500	4.74	0
Dec	31	1430	4.74	0
Dec	31	1400	4.73	0
Dec	31	1330	4.74	0
Dec	31	1300	4.74	0
Dec	31	1230	4.73	0
Dec	31	1200	4.73	0
Dec	31	1130	4.74	0
Dec	31	1100	4.74	0
Dec	31	1030	4.74	0
Dec	31	1000	4.74	0
Dec	31	930	4.74	0
Dec	31	900	4.73	0
Dec	31	830	4.73	0
Dec	31	800	4.73	0
Dec	31	730	4.73	0
Dec	31	700	4.74	0
Dec	31	630	4.73	0
Dec	31	600	4.73	0
Dec	31	530	4.73	0
Dec	31	500	4.74	0
Dec	31	430	4.73	0
Dec	31	400	4.74	0
Dec	31	330	4.73	0
Dec	31	300	4.74	0
Dec	31	230	4.74	0
Dec	31	200	4.73	0
Dec	31	130	4.73	0
Dec	31	100	4.74	0
Dec	31	30	4.74	0
Dec	31	0	4.74	0
Dec	30	2330	4.73	0
Dec	30	2300	4.74	0
Dec	30	2230	4.74	0
Dec	30	2200	4.73	0
Dec	30	2130	4.74	0
Dec	30	2100	4.74	0
Dec	30	2030	4.74	0
Dec	30	2000	4.74	0
Dec	30	1930	4.73	0
Dec	30	1900	4.74	0
Dec	30	1830	4.73	0
Dec	30	1800	4.74	0
Dec	30	1730	4.74	0
Dec	30	1700	4.74	0
Dec	30	1630	4.75	0
Dec	30	1600	4.75	0
Dec	30	1530	4.74	0
Dec	30	1500	4.74	0
Dec	30	1430	4.75	0
Dec	30	1400	4.74	0
Dec	30	1330	4.75	0
Dec	30	1300	4.75	0
Dec	30	1230	4.76	0
Dec	30	1200	4.78	0
Dec	30	1130	4.79	0
Dec	30	1100	4.78	0
Dec	30	1030	4.77	0
Dec	30	1000	4.75	0
Dec	30	930	4.74	0
Dec	30	900	4.75	0
Dec	30	830	4.76	0
Dec	30	800	4.75	0
Dec	30	730	4.73	0
Dec	30	700	4.73	0
Dec	30	630	4.74	0
Dec	30	600	4.74	0
Dec	30	530	4.74	0
Dec	30	500	4.74	0
Dec	30	430	4.74	0
Dec	30	400	4.74	0
Dec	30	330	4.74	0
Dec	30	300	4.74	0
Dec	30	230	4.74	0
Dec	30	200	4.74	0
Dec	30	130	4.74	0
Dec	30	100	4.74	0
Dec	30	30	4.74	0
Dec	30	0	4.74	0
Dec	29	2330	4.74	0
Dec	29	2300	4.74	0
Dec	29	2230	4.74	0
Dec	29	2200	4.74	0
Dec	29	2130	4.74	0
Dec	29	2100	4.74	0
Dec	29	2030	4.74	0
Dec	29	2000	4.75	0
Dec	29	1930	4.74	0
Dec	29	1900	4.75	0
Dec	29	1830	4.75	0
Dec	29	1800	4.74	0
Dec	29	1730	4.75	0
Dec	29	1700	4.74	0
Dec	29	1630	4.75	0
Dec	29	1600	4.75	0
Dec	29	1530	4.75	0
Dec	29	1500	4.75	0
Dec	29	1430	4.75	0
Dec	29	1400	4.75	0
Dec	29	1330	4.74	0
Dec	29	1300	4.75	0
Dec	29	1230	4.74	0
Dec	29	1200	4.74	0
Dec	29	1130	4.75	0
Dec	29	1100	4.74	0
Dec	29	1030	4.75	0
Dec	29	1000	4.74	0
Dec	29	930	4.75	0
Dec	29	900	4.74	0
Dec	29	830	4.75	0
Dec	29	800	4.74	0
Dec	29	730	4.74	0
Dec	29	700	4.74	0
Dec	29	630	4.75	0
Dec	29	600	4.74	0
Dec	29	530	4.74	0
Dec	29	500	4.73	0
Dec	29	430	4.74	0
Dec	29	400	4.74	0
Dec	29	330	4.74	0
Dec	29	300	4.75	0
Dec	29	230	4.75	0
Dec	29	200	4.75	0
Dec	29	130	4.74	0
Dec	29	100	4.75	0
Dec	29	30	4.75	0
Dec	29	0	4.75	0
Dec	28	2330	4.76	0
Dec	28	2300	4.75	0
Dec	28	2230	4.75	0
Dec	28	2200	4.75	0
Dec	28	2130	4.75	0
Dec	28	2100	4.75	0
Dec	28	2030	4.75	0
Dec	28	2000	4.75	0
Dec	28	1930	4.75	0
Dec	28	1900	4.75	0
Dec	28	1830	4.75	0
Dec	28	1800	4.74	0
Dec	28	1730	4.75	0
Dec	28	1700	4.75	0
Dec	28	1630	4.75	0
Dec	28	1600	4.75	0
Dec	28	1530	4.75	0
Dec	28	1500	4.75	0
Dec	28	1430	4.75	0
Dec	28	1400	4.75	0
Dec	28	1330	4.75	0
Dec	28	1300	4.75	0
Dec	28	1230	4.76	0
Dec	28	1200	4.75	0
Dec	28	1130	4.75	0
Dec	28	1100	4.76	0
Dec	28	1030	4.75	0
Dec	28	1000	4.75	0
Dec	28	930	4.76	0
Dec	28	900	4.75	0
Dec	28	830	4.76	0
Dec	28	800	4.75	0
Dec	28	730	4.76	0
Dec	28	700	4.76	0
Dec	28	630	4.76	0
Dec	28	600	4.76	0
Dec	28	530	4.76	0
Dec	28	500	4.77	0
Dec	28	430	4.77	0
Dec	28	400	4.78	0
Dec	28	330	4.77	0
Dec	28	300	4.77	0
Dec	28	230	M	M
Dec	28	200	4.76	0
Dec	28	130	4.77	0
Dec	28	100	4.77	0
Dec	28	30	4.77	0
Dec	28	0	4.76	0
Dec	27	2330	4.77	0
Dec	27	2300	4.77	0
Dec	27	2230	4.76	0
Dec	27	2200	4.77	0
Dec	27	2130	4.77	0
Dec	27	2100	4.76	0
Dec	27	2030	4.76	0
Dec	27	2000	4.76	0
Dec	27	1930	4.76	0
Dec	27	1900	4.75	0
Dec	27	1830	4.74	0
Dec	27	1800	4.74	0
Dec	27	1730	4.72	0
Dec	27	1700	4.71	0
Dec	27	1630	4.7	0
Dec	27	1600	4.69	0
Dec	27	1530	4.69	0
Dec	27	1500	4.68	0
Dec	27	1430	4.69	0
Dec	27	1400	4.68	0
Dec	27	1330	4.68	0
Dec	27	1300	4.68	0
Dec	27	1230	4.69	0
Dec	27	1200	4.68	0
Dec	27	1130	4.68	0
Dec	27	1100	4.68	0
Dec	27	1030	4.68	0
Dec	27	1000	4.68	0
Dec	27	930	4.68	0
Dec	27	900	4.68	0
Dec	27	830	M	M
Dec	27	800	4.69	0
Dec	27	730	4.68	0
Dec	27	700	4.69	0
Dec	27	630	4.69	0
Dec	27	600	4.68	0
Dec	27	530	4.69	0
Dec	27	500	4.69	0
Dec	27	430	4.69	0
Dec	27	400	4.68	0
Dec	27	330	4.68	0
Dec	27	300	4.68	0
Dec	27	230	4.68	0
Dec	27	200	4.68	0
Dec	27	130	4.69	0
Dec	27	100	4.69	0
Dec	27	30	4.69	0
Dec	27	0	4.69	0
Dec	26	2330	4.7	0
Dec	26	2300	4.7	0
Dec	26	2230	4.7	0
Dec	26	2200	4.71	0
Dec	26	2130	4.71	0
Dec	26	2100	4.69	0
Dec	26	2030	4.69	0
Dec	26	2000	4.71	0
Dec	26	1930	4.7	0
Dec	26	1900	4.71	0
Dec	26	1830	4.72	0
Dec	26	1800	4.72	0
Dec	26	1730	4.72	0
Dec	26	1700	4.73	0
Dec	26	1630	4.72	0
Dec	26	1600	4.72	0
Dec	26	1530	4.73	0
Dec	26	1500	4.72	0
Dec	26	1430	4.72	0
Dec	26	1400	4.72	0
Dec	26	1330	4.72	0
Dec	26	1300	4.72	0
Dec	26	1230	4.72	0
Dec	26	1200	4.71	0
Dec	26	1130	4.72	0
Dec	26	1100	4.72	0
Dec	26	1030	4.71	0
Dec	26	1000	4.71	0
Dec	26	930	4.71	0
Dec	26	900	4.71	0
Dec	26	830	4.71	0
Dec	26	800	4.71	0
Dec	26	730	4.71	0
Dec	26	700	4.71	0
Dec	26	630	4.7	0
Dec	26	600	4.72	0
Dec	26	530	4.71	0
Dec	26	500	4.71	0
Dec	26	430	4.71	0
Dec	26	400	4.71	0
Dec	26	330	4.72	0
Dec	26	300	4.71	0
Dec	26	230	4.71	0
Dec	26	200	4.71	0
Dec	26	130	4.71	0
Dec	26	100	4.71	0
Dec	26	30	4.72	0
Dec	26	0	4.72	0
Dec	25	2330	4.72	0
Dec	25	2300	4.72	0
Dec	25	2230	4.71	0
Dec	25	2200	4.71	0
Dec	25	2130	4.71	0
Dec	25	2100	4.71	0
Dec	25	2030	4.72	0
Dec	25	2000	4.71	0
Dec	25	1930	4.71	0
Dec	25	1900	4.71	0
Dec	25	1830	4.71	0
Dec	25	1800	4.71	0
Dec	25	1730	4.71	0
Dec	25	1700	4.71	0
Dec	25	1630	4.71	0
Dec	25	1600	4.72	0
Dec	25	1530	4.71	0
Dec	25	1500	4.71	0
Dec	25	1430	4.71	0
Dec	25	1400	4.71	0
Dec	25	1330	4.7	0
Dec	25	1300	4.71	0
Dec	25	1230	4.71	0
Dec	25	1200	4.71	0
Dec	25	1130	4.71	0
Dec	25	1100	4.71	0
Dec	25	1030	4.7	0
Dec	25	1000	4.71	0
Dec	25	930	4.71	0
Dec	25	900	4.72	0
Dec	25	830	4.71	0
Dec	25	800	4.71	0
Dec	25	730	4.71	0
Dec	25	700	4.71	0
Dec	25	630	4.7	0
Dec	25	600	4.71	0
Dec	25	530	4.71	0
