5s,15s,5s,3n,4s,2s,12n
USGS,8290000,60,99734,2012,3,309.7
USGS,8290000,60,99734,2012,4,645.6
USGS,8290000,60,99734,2012,5,635
USGS,8290000,60,99734,2012,6,1087
USGS,8290000,60,99734,2012,7,836.4
USGS,8290000,60,99734,2012,8,681.3
USGS,8290000,60,99734,2012,9,309.8
USGS,8290000,60,99734,2012,10,207.6
USGS,8290000,60,99734,2012,11,252.9
USGS,8290000,60,99734,2012,12,414.8
USGS,8290000,60,99734,2013,1,108.5
USGS,8290000,60,99734,2013,2,89.2
USGS,8290000,60,99734,2013,3,124
USGS,8290000,60,99734,2013,4,610.8
USGS,8290000,60,99734,2013,5,815.6
USGS,8290000,60,99734,2013,6,887.4
USGS,8290000,60,99734,2013,7,221.9
USGS,8290000,60,99734,2013,8,263.6
USGS,8290000,60,99734,2013,9,316.3
USGS,8290000,60,99734,2013,10,274.6
USGS,8290000,60,99734,2013,11,171.3
USGS,8290000,60,99734,2013,12,137.1
USGS,8290000,60,99734,2014,1,103.8
USGS,8290000,60,99734,2014,2,107.2
USGS,8290000,60,99734,2014,3,97
USGS,8290000,60,99734,2014,4,452.1
USGS,8290000,60,99734,2014,5,819.7
USGS,8290000,60,99734,2014,6,422.3
USGS,8290000,60,99734,2014,7,399.1
USGS,8290000,60,99734,2014,8,359.8
USGS,8290000,60,99734,2014,9,418.9
USGS,8290000,60,99734,2014,10,141.7
USGS,8290000,60,99734,2014,11,110
USGS,8290000,60,99734,2014,12,211.4
USGS,8290000,60,99734,2015,1,90.5
USGS,8290000,60,99734,2015,2,91.7
USGS,8290000,60,99734,2015,3,216.9
USGS,8290000,60,99734,2015,4,456.1
USGS,8290000,60,99734,2015,5,641.1
USGS,8290000,60,99734,2015,6,640.7
USGS,8290000,60,99734,2015,7,451.6
USGS,8290000,60,99734,2015,8,641.3
USGS,8290000,60,99734,2015,9,460.7
USGS,8290000,60,99734,2015,10,244
USGS,8290000,60,99734,2015,11,580.3
USGS,8290000,60,99734,2015,12,782.4
USGS,8290000,60,99734,2016,1,105.4
USGS,8290000,60,99734,2016,2,166.6
USGS,8290000,60,99734,2016,3,131.5
USGS,8290000,60,99734,2016,4,285
USGS,8290000,60,99734,2016,5,789.1
USGS,8290000,60,99734,2016,6,899.2
USGS,8290000,60,99734,2016,7,711.6
USGS,8290000,60,99734,2016,8,684.5
USGS,8290000,60,99734,2016,9,546
USGS,8290000,60,99734,2016,10,110.1601108
USGS,8290000,60,99734,2016,11,283.9
USGS,8290000,60,99734,2016,12,269.2
USGS,8290000,60,99734,2017,1,159.6
USGS,8290000,60,99734,2017,2,153.8
USGS,8290000,60,99734,2017,3,934.4
USGS,8290000,60,99734,2017,4,2014
USGS,8290000,60,99734,2017,5,1867
USGS,8290000,60,99734,2017,6,623.7
USGS,8290000,60,99734,2017,7,561
USGS,8290000,60,99734,2017,8,365.2
USGS,8290000,60,99734,2017,9,668
USGS,8290000,60,99734,2017,10,549.2
USGS,8290000,60,99734,2017,11,749.8
USGS,8290000,60,99734,2017,12,603
USGS,8290000,60,99734,2018,1,92
USGS,8290000,60,99734,2018,2,61.3
USGS,8290000,60,99734,2018,3,91.4
USGS,8290000,60,99734,2018,4,605.5
USGS,8290000,60,99734,2018,5,817
USGS,8290000,60,99734,2018,6,899.3
USGS,8290000,60,99734,2018,7,740
USGS,8290000,60,99734,2018,8,652.2
USGS,8290000,60,99734,2018,9,410.4
USGS,8290000,60,99734,2018,10,296
USGS,8290000,60,99734,2018,11,99.5
USGS,8290000,60,99734,2018,12,111.4
USGS,8290000,60,99734,2019,1,127.8
USGS,8290000,60,99734,2019,2,187.8
USGS,8290000,60,99734,2019,3,571.6
USGS,8290000,60,99734,2019,4,1645
USGS,8290000,60,99734,2019,5,2219
USGS,8290000,60,99734,2019,6,1705
USGS,8290000,60,99734,2019,7,542.8
USGS,8290000,60,99734,2019,8,182.9
USGS,8290000,60,99734,2019,9,352.2
USGS,8290000,60,99734,2019,10,596.7
USGS,8290000,60,99734,2019,11,974.6
USGS,8290000,60,99734,2019,12,263.7
