YEAR.x,MONTH.x,DATE,DRG,Scaled_DRG,QRGUP,QRCTRI,QRCUP,QRGLOW,QCORC,QCORC_scaled,QCORC_reported
2014,3,3/1/14,0.031986294,0.044530846,0.050703106,0.003559787,0.008359994,0.024228569,0,0,0.004877927
2014,4,4/1/14,0.048139851,0.06701959,0.035025365,0.007178292,0.050989357,0.006730566,-0.038322597,-0.019442858,0.005596062
2014,5,5/1/14,0.055606589,0.077414673,0.049756276,0.026658032,0.046754312,0.029373745,-0.038188285,-0.016380202,0.007237458
2014,6,6/1/14,0.060086771,0.083651915,0.067709345,0.005857134,0.014121711,0.00880038,0,0.004764106,0.007971808
2014,7,7/1/14,0.057899052,0.080606205,0.040897178,-0.000924811,0.003229497,0.012095935,0.026793122,0.049500275,0.008637889
2014,8,8/1/14,0.051868499,0.072210559,0.035781361,-0.004521296,0.00314142,0.03297757,0.050444584,0.070786644,0.008360377
2014,9,9/1/14,0.045832581,0.063807443,0.023289079,-0.002554239,0.001761544,0.008367334,0.031703531,0.049678393,0.007013158
2014,10,10/1/14,0.040942712,0.05699984,0.035553828,0.001629428,0.00344235,0.006737906,0.007055011,0.023112138,0.006010111
2014,11,11/1/14,0.01265043,0.017611742,0.048317682,-0.001233081,0.004653412,0.037440148,0,0,0.004574227
2014,12,12/1/14,0.006627675,0.009226951,0.043583533,9.54E-05,0.004440559,0.052200419,0,0,0.004035287
2015,1,1/1/15,0.001232647,0.001716073,0.038702588,-0.000858753,0.005710338,0.038497075,0,0,0.005992247
2015,2,2/1/15,0.000352891,0.00049129,0.047502968,0.00252488,0.006150724,0.048112169,0,0,0.00553439
2015,3,3/1/15,0.022633007,0.031509339,0.07603998,0.01193446,0.020940354,0.044192733,0,0,0.007415214
2015,4,4/1/15,0.036510672,0.050829619,0.050739805,0.017050277,0.044508343,0.029366405,0,-0.032102401,0.008506892
2015,5,5/1/15,0.040633157,0.056568882,0.077361138,0.015457548,0.097251905,0.067437774,0,0,0.011002072
2015,6,6/1/15,0.052051575,0.072465434,0.115014139,0.006180083,0.046247868,0.063298145,0,0,0.012118399
2015,7,7/1/15,0.050304641,0.070033379,0.079122682,0.010099519,0.01382812,0.061830192,0,0,0.013130947
2015,8,8/1/15,0.05154263,0.071756889,0.037359411,0.001915679,0.005695659,0.021219265,0.027791146,0.048005405,0.012709085
2015,9,9/1/15,0.041370373,0.057595223,0.023971677,-0.028192043,0.00408825,0.001152343,0.042654833,0.058879682,0.0106611
2015,10,10/1/15,0.034541563,0.048088254,0.024045075,-0.005526844,0.004947003,0.010128878,0.021205208,0.034751899,0.009136311
2015,11,11/1/15,0.01074929,0.014965003,0.045521231,0.014973123,0.005306651,0.05247199,0,0,0.006953542
2015,12,12/1/15,0.002119815,0.002951175,0.042651383,0.005387389,0.005093798,0.094022408,0,0,0.00613427
2016,1,1/1/16,0.005439833,0.007573255,0.038687909,-7.34E-06,0.00628284,0.044794594,0,0,0.005953118
2016,2,2/1/16,0.005130114,0.007142069,0.051033396,0.005548863,0.009372882,0.050402176,0,0,0.00549825
2016,3,3/1/16,0.030870321,0.042977205,0.070887464,0.004110269,0.018055825,0.042908274,0,0,0.007366793
2016,4,4/1/16,0.052299411,0.072810468,0.060839324,0.01415107,0.05372709,0.022995488,0,-0.032911527,0.008451342
2016,5,5/1/16,0.058153854,0.080960937,0.102096151,-0.013549209,0.096884916,0.07383805,0,0,0.010930229
2016,6,6/1/16,0.054807417,0.076302076,0.130647842,0.023494592,0.02922695,0.127785333,0,0,0.012039266
2016,7,7/1/16,0.05516758,0.076803491,0.039392526,0.004682771,0.005695659,0.004616713,0.010013337,0.031649248,0.013045202
2016,8,8/1/16,0.058162766,0.080973344,0.021182566,0.001056926,0.005930531,0.006378257,0.036370999,0.059181578,0.012626094
2016,9,9/1/16,0.049505809,0.068921256,0.018503551,-0.000763336,0.004624053,0.000770675,0.027912216,0.047327663,0.010591483
2016,10,10/1/16,0.014788098,0.020587771,0.01884118,-0.008076671,0.003787319,0.00095417,0,0.006990112,0.009076651
2016,11,11/1/16,0.010993326,0.015304746,0.029403104,0.006400276,0.003699242,NA,0,0,0.006908135
2016,12,12/1/16,0.007233628,0.01007055,0.037190596,0.008506789,0.004638732,0.048978261,0,0,0.006094213
2017,1,1/1/17,0.005871836,0.008174684,0.038996179,0.004198346,0.005313991,0.05215638,0,0,0.010386239
2017,2,2/1/17,0.006161293,0.008577661,0.050101245,0.003361613,0.008888457,0.057719923,0,0,0.009592644
2017,3,3/1/17,0.028233761,0.039306625,0.083306349,0.021395419,0.042842216,0.098206074,0,0,0.012852638
2017,4,4/1/17,0.047675693,0.066373395,0.116188502,0.030460031,0.125656801,0.202797746,0,0,0.014744821
2017,5,5/1/17,0.05231663,0.07283444,0.185622692,0.019597176,0.190026552,0.249845648,0,0,0.019069666
2017,6,6/1/17,0.059988557,0.083515184,0.147822895,0.000521123,0.075599594,0.129033093,0,0,0.021004572
2017,7,7/1/17,0.064097774,0.089235975,0.038900762,0.00062388,0.012022537,0.004051551,0.016602146,0.041740347,0.022759601
2017,8,8/1/17,0.059981676,0.083505604,0.033183084,-0.000234873,0.008125121,0.00722233,0.026130674,0.049654602,0.022028395
2017,9,9/1/17,0.048212132,0.067120219,0.022415647,-0.00061654,0.005005721,0.009270125,0.03067743,0.049585517,0.018478666
2017,10,10/1/17,0.02939874,0.040928492,0.037491527,0.009064612,0.010591283,0.083526542,0,0.067307612,0.015835781
2017,11,11/1/17,0.019805648,0.027573131,0.04271744,0.01854759,0.00598191,0.07479222,0,0,0.012052432
2017,12,12/1/17,0.006586175,0.009169175,0.041704553,0.018327397,0.004565335,0.084921097,0,0,0.010632404
2018,1,1/1/18,0.007468973,0.010398193,0.037197936,-0.002480841,0.004440559,0.039069577,0,0,0.002292317
2018,2,2/1/18,0.007193543,0.010014745,0.040816441,-0.003023984,0.003956134,0.040610927,0,0,0.002117165
2018,3,3/1/18,0.031526441,0.043890646,0.039231051,0.000433046,0.005732358,0.014738251,0,0.013232442,0.002836669
2018,4,4/1/18,0.049682907,0.069167809,0.021622952,0.01131058,0.049844354,0.000562226,-0.032532753,-0.01304785,0.003254287
2018,5,5/1/18,0.058157832,0.080966475,0.020896315,0.008125121,0.017145694,0,0.011990702,0.034799345,0.004208811
2018,6,6/1/18,0.055103505,0.076714286,0.01572178,0.011919781,0.002679015,0,0.02478293,0.046393711,0.004635859
2018,7,7/1/18,0.06061921,0.08439317,0.011222503,0.005556203,0.00124776,0.006943419,0.049536163,0.073310123,0.005023206
2018,8,8/1/18,0.054034246,0.07522568,0.011684908,0.009262785,0.00126244,0.004462578,0.036286691,0.057478124,0.004861824
2018,9,9/1/18,0.036771902,0.0511933,0.0119418,-0.013240939,0.001372536,0.001534011,0.038232516,0.052653913,0.004078373
2018,10,10/1/18,0.032740757,0.045581199,0.012998726,0.0100408,0.003970814,0.008095762,0.013826179,0.026666621,0.00349507
2018,11,11/1/18,0.006824296,0.009500684,0.01569976,0.00093215,0.003068022,0.018195281,0,0,0.002660057
2018,12,12/1/18,0.004352056,0.006058868,0.023942318,0.00472681,0.002150552,0.026452518,0,0,0.002346647
2019,1,1/1/19,0.005214453,0.007259484,0.025344213,0.007501241,0.003273536,0.030871057,0,0,0.009300174
2019,2,2/1/19,0.004833652,0.006729339,0.03015176,0.011750966,0.004580014,0.034907929,0,0,0.008589564
2019,3,3/1/19,0.021632976,0.03011711,0.04838374,0.026166267,0.011560132,0.06565421,0,0,0.011508668
2019,4,4/1/19,0.041488923,0.057760267,0.077434536,0.039487943,0.084040325,0.144446603,0,0,0.01320299
2019,5,5/1/19,0.055021753,0.076600473,0.179310493,0.046020335,0.147969691,0.245735379,0,0,0.017075596
2019,6,6/1/19,0.066547618,0.092646612,0.27619541,0.04271744,0.152593743,0.251753988,0,0,0.018808173
2019,7,7/1/19,0.055634364,0.07745334,0.172264317,0.003214818,0.026826846,0.150318416,0,0,0.020379683
2019,8,8/1/19,0.056315907,0.078402174,0.082792565,-0.023377156,0.007618678,0.03550245,0,0,0.019724938
2019,9,9/1/19,0.050282229,0.070002176,0.036948384,-0.025571746,0.003501069,0.004249725,0.039654247,0.059374195,0.016546395
2019,10,10/1/19,0.040797304,0.056797405,0.026518576,5.87E-05,0.003001964,0.021079809,0.032297855,0.048297955,0.01417987
2019,11,11/1/19,0.013770613,0.019171244,0.029586598,0.002040455,0.003023984,0.085801869,0,0,0.010792137
2019,12,12/1/19,0.005472244,0.007618377,0.037153898,-0.000888112,0.003258856,0.064670682,0,0,0.009520599
