5s,15s,5s,3n,4s,2s,12n
USGS,8287000,60,99724,2012,3,210.8
USGS,8287000,60,99724,2012,4,498.1
USGS,8287000,60,99724,2012,5,701.1
USGS,8287000,60,99724,2012,6,1188
USGS,8287000,60,99724,2012,7,889.8
USGS,8287000,60,99724,2012,8,668.3
USGS,8287000,60,99724,2012,9,353.9
USGS,8287000,60,99724,2012,10,194.4
USGS,8287000,60,99724,2012,11,239.5
USGS,8287000,60,99724,2012,12,406.9
USGS,8287000,60,99724,2013,1,66.4
USGS,8287000,60,99724,2013,2,55.7
USGS,8287000,60,99724,2013,3,106.4
USGS,8287000,60,99724,2013,4,592
USGS,8287000,60,99724,2013,5,899.1
USGS,8287000,60,99724,2013,6,989.5
USGS,8287000,60,99724,2013,7,204.1
USGS,8287000,60,99724,2013,8,306.9
USGS,8287000,60,99724,2013,9,219.9
USGS,8287000,60,99724,2013,10,230.8
USGS,8287000,60,99724,2013,11,148.9
USGS,8287000,60,99724,2013,12,107.7
USGS,8287000,60,99724,2014,1,73.2
USGS,8287000,60,99724,2014,2,74.9
USGS,8287000,60,99724,2014,3,76.5
USGS,8287000,60,99724,2014,4,426.4
USGS,8287000,60,99724,2014,5,840.1
USGS,8287000,60,99724,2014,6,508.5
USGS,8287000,60,99724,2014,7,377.2
USGS,8287000,60,99724,2014,8,391.8
USGS,8287000,60,99724,2014,9,451.8
USGS,8287000,60,99724,2014,10,148.7
USGS,8287000,60,99724,2014,11,99.1
USGS,8287000,60,99724,2014,12,201.4
USGS,8287000,60,99724,2015,1,55.1
USGS,8287000,60,99724,2015,2,50.8
USGS,8287000,60,99724,2015,3,108.5
USGS,8287000,60,99724,2015,4,334.9
USGS,8287000,60,99724,2015,5,616.9
USGS,8287000,60,99724,2015,6,659.7
USGS,8287000,60,99724,2015,7,388.9
USGS,8287000,60,99724,2015,8,625.1
USGS,8287000,60,99724,2015,9,506.2
USGS,8287000,60,99724,2015,10,224.6
USGS,8287000,60,99724,2015,11,590.5
USGS,8287000,60,99724,2015,12,849.9
USGS,8287000,60,99724,2016,1,72
USGS,8287000,60,99724,2016,2,136.5
USGS,8287000,60,99724,2016,3,78.9
USGS,8287000,60,99724,2016,4,182.2
USGS,8287000,60,99724,2016,5,788.7
USGS,8287000,60,99724,2016,6,1038
USGS,8287000,60,99724,2016,7,838.5
USGS,8287000,60,99724,2016,8,579.5
USGS,8287000,60,99724,2016,9,490.7
USGS,8287000,60,99724,2016,10,229.1
USGS,8287000,60,99724,2016,11,238
USGS,8287000,60,99724,2016,12,206
USGS,8287000,60,99724,2017,1,102.5
USGS,8287000,60,99724,2017,2,78.3
USGS,8287000,60,99724,2017,3,806.6
USGS,8287000,60,99724,2017,4,1646
USGS,8287000,60,99724,2017,5,1597
USGS,8287000,60,99724,2017,6,628.3
USGS,8287000,60,99724,2017,7,620.7
USGS,8287000,60,99724,2017,8,392.4
